ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
OEVO,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªÌ«ùÄòºû«ùÃÄª«¦å¤¤°ª¿@«×¡A¦Ó¥i¯à´£°ª°Æ§@¥Îªºµo¥Í²v,,201804191426,201804191426
OFAM,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,¦å²G³zªR¯f¤H:"¨C¦¸¬~µÇ¤§«áÀ³¥ß§Y§ë¤© famciclovir¡F±aª¬ž\¯l±wªÌ:«ØÄ³¾¯¶q¬° 250 ²@§J;¥Í´Þ¾¹ž\¯l±wªÌ:125²@§J",,,202303091001
OFAM,¦¨¤H,Clcr,10.00,30.00,mL/min,mL/min,"ªvÀø±aª¬ž\¯l»Pªìµo©Ê¤§¥Í´Þ¾¹ž\¯l·P¬V¯g¡G¨C¤Ñ125²@§J¡A¤@¤Ñ¤T¦¸;ªvÀø«æ©Ê´_µo¤§¥Í´Þ¾¹ž\¯l·P¬V¯g®É¡AµL¶·½Õ¾ã¾¯¶q",,,202303091001
OFAMO,¦¨¤H,Clcr,0,0,mL/min,mL/min,¬~µÇ±wªÌ: 1 ¦¸ 20mg ¬~µÇ«á 1 ¦¸,¥é³æ,201909251622,202008031024
OFAMO,¦¨¤H,Clcr,29.99,0,mL/min,mL/min,If usual dose is 10 mg twice daily or 20 mg once daily: 10 mg every other day; If usual dose is 20 mg twice daily: 10 mg once daily or 20 mg every other day,UpToDate 20200803,202008031028,202008031024
OFAMO,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,1 ¦¸ 20mg¡A 2¡ã3 ¤é 1 ¦¸,¥é³æ,201909251621,202008031024
OFAMO,¦¨¤H,Clcr,59.99,30.00,mL/min,mL/min,If usual dose is 10 mg twice daily or 20 mg once daily: 10 mg once daily or 20 mg every other day; If usual dose is 20 mg twice daily: 20 mg once daily or 40 mg every other day,UpToDate 20200803,202008031029,202008031024
OFAMO,¦¨¤H,Clcr,60.00,30.00,mL/min,mL/min,1 ¦¸ 20mg ¡A1 ¤é 1 ¦¸,¥é³æ,201909251621,202008031024
OFAX,¦¨¤H,Clcr,0,0,mL/min,mL/min,»´«×©Î¤¤«×µÇ¥\¯à¤£¥þ¯f±w «ØÄ³­°§C usual dosage by 25% to 50%,¦å²G³zªR¯f±w «ØÄ³Decrease usual dosage by 50%,201804150048,201804150050
OFEB,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,Limit dose to 40 mg once daily,,201804142310,201804142310
OFLU,¦¨¤H,Scr,2.50,0,mg/dL,mg/dL,À³Á×§K¨Ï¥Î,,201804120103,201804120104
OFLUC,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's,,201804191057,202303091001
OFOL,¦¨¤H,Clcr,0,0,mL/min,mL/min,¯f¤H­Y¦³¸¡¤ô¡A¯Ý½¤º¯³z²G¡AµÇ¥\¯à»ÙÃª©ÎHydration¤£°÷®É·|©µ¿ðmethotrexate±Æ¥X¡AÀ³¦Ò¼{¼W¥[Folina¾¯¶q©Î©µªøªvÀø®É¶¡,­Y«ØÄ³¾¯¶q°ª©ó¤fªA¨Ï¥Î³\¥i¾¯¶q¡AÀ³§ï¥HÀR¯ßª`®gµ¹ÃÄ,201804191520,201804191520
OFOR,¦¨¤H,eGFR,0,25.00,mL/min/1.73m2,mL/min/1.73m2,°w¹ï¦¹Ãþ¯f¤H¤£«ØÄ³¶}©lªvÀø¡AµM¦ÓForxigaªvÀø«á¡AeGFR­°§C¦Ü¤p©ó25 mL/min/1.73 m2ªº¯f¤H¡A¥i«ùÄò¨Ï¥Î¥H­°§CeGFR¤U­°¡BESKD¡B¤ß¦åºÞ¦º¤`©M¤ß°IºÜ¦í°|ªº­·ÀI¡C,¥é³æ,202109140952,202111301201
OFOR,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,³zªR¯f±w¸T¤î¨Ï¥ÎForxiga.,¥é³æ,202109140957,202111301203
OFOR,¦¨¤H,eGFR,0,0.01,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (ESRD or dialysis) in any population: Use is contraindicated.,Micromedex 20210914,202109141105,202109141106
OFOR,¦¨¤H,eGFR,0,45.00,mL/min/1.73m2,mL/min/1.73m2,used for glycemic control: Use not recommended. type 2 diabetes when used to reduce risk of hospitalization for heart failure: Insufficient data to support dose adjustment recommendation.,Micromedex 20210914,202109141055,202109141100
OFOR,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,used for glycemic control: Use is contraindicated. heart failure with reduced ejection fraction (with or without type 2 diabetes) when used to reduce risk of cardiovascular death/hospitalization: Insufficient data to support dose adjustment recommendation.,Micromedex 20210914,202109141057,202109141059
OFOR,¦¨¤H,eGFR,25.00,45.00,mL/min/1.73m2,mL/min/1.73m2,¨C¤Ñ¤fªA1¦¸10²@§J¡C,¥é³æ,201804112343,202312061911
OFOR,¦¨¤H,eGFR,45.00,99.00,mL/min/1.73m2,mL/min/1.73m2,¬°§ïµ½¦å¿}±±¨î¡AForxigaªº«ØÄ³°_©l¾¯¶q¬O5²@§J¨C¤Ñ¤fªA1¦¸¡C¦b­@¨üForxiga 5²@§J¨C¤Ñ1¦¸ªº¯f¤H¡A»Ý­n¹ï©óÃB¥~¦å¿}±±¨î®É¡A¾¯¶q¥i¼W¦Ü10²@§J¨C¤Ñ¤fªA1¦¸¡C¹ï©ó©Ò¦³¨ä¥L¾AÀ³¯gªº«ØÄ³°_©l¾¯¶q¬O¨C¤Ñ¤fªA1¦¸10²@§J¡C,¥é³æ,202111301159,202109141054
OFOSP,¦¨¤H,Clcr,0,35.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804120003,201804120008
OFUCO,¦¨¤H,eGFR,0,9.99,mL/min/1.73m2,mL/min/1.73m2,Administer every 8 hours.,,201804021212,202303091001
OFUCO,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,Administer every 6 hours.,,201804021212,202303090959
OFUCO,¨àµ£,eGFR,0,9.99,mL/min/1.73m2,mL/min/1.73m2,Administer every 8 hours.,,201804021213,202303090959
OFUN,¦¨¤H,Clcr,50.00,0,mL/min,mL/min,Ã­©w¥BºC©ÊµÇ¥\¯à²§±`ªº¯f¤H¡AÀ³¨Ï¥Î«ØÄ³¾¯¶qªº¤@¥b¡C¨ÃÀ³¦b¥ÎÃÄ«e«á°lÂÜÀË¬d¨ä¨x¥\¯à¡C,[¥é³æ],202110201120,202110201129
OFYC,¦¨¤H,Clcr,0,0,mL/min,mL/min,¤¤«×µÇ¥\¯à¤£¥þ¯f±w«ØÄ³:Close monitoring and slower dose titration may be necessary based on patient's response and tolerability,­««×µÇ¥\¯à¤£¥þ¯f±w¤£«ØÄ³¨Ï¥Î,201804160428,201804160428
OGALM,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³¨Ï¥Î,,201804112345,201804112345
OGLIV,¦¨¤H,Clcr,0,19.99,mL/min,mL/min,Use caution; a dose of 100 mg daily has been tolerated in a limited number of patients with severe impairment,,201804301513,201804301513
OGLIV,¦¨¤H,Clcr,20.00,39.99,mL/min,mL/min,Decrease recommended starting dose by 50%; dose may be increased as tolerated; maximum recommended dose: 400 mg.,,201804301513,202303091001
OGLIV,¦¨¤H,Clcr,40.00,59.99,mL/min,mL/min,Maximum recommended dose: 600 mg.,,201804301512,201804301513
OGLUB1,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³¨Ï¥Î,,201804112338,201804112338
OGLUC,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,Use is contraindicated,Micromedex 20201006,202010021202,202010061216
OGLUC,¦¨¤H,eGFR,30.00,45.00,mL/min/1.73m2,mL/min/1.73m2,Use not recommended,Micromedex 20201006,202010061217,202010061216
OGLUC,¦¨¤H,eGFR,30.01,45.00,mL/min/1.73m2,mL/min/1.73m2,À³´î¶q¨Ï¥Î,¥é³æ,202010061236,202010061216
OGLUC,¦¨¤H,eGFR,45.00,45.00,mL/min/1.73m2,mL/min/1.73m2,eGFR falls below 45 mL/min/1.73 m(2) after initiation: Assess benefits and risks of continuing treatment,Micromedex 20201006,202010061217,202010061219
OGLUF,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ°IºÜ±wªÌªAÃÄ«á­n°È¤§¥b°I´Á©µªø¡A¥i¯à¾É­P§C¦å¿}ªº°Æ§@¥Î¡A¶·ÂÔ·V¨Ï¥Î¡C,,201804112331,201804112331
OGLUM,¦¨¤H,Scr,1.40,0,mg/dL,mg/dL,¤£«ØÄ³¨Ï¥Î,¤k©Ê,201804112348,201804112348
OGLUM,¦¨¤H,Scr,1.50,0,mg/dL,mg/dL,¤£«ØÄ³¨Ï¥Î,¨k©Ê,201804112347,201804112347
OGOU,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªÌ»ÝÀ³·r°u´î§C¾¯¶q¡AÄY­«µÇ¥\¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,,201804142313,202303091000
OGXB,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,§C©ó30 mL/min/1.73 m2¤£À³¨Ï¥Î,[¥é³æ],202007051226,202109011108
OGXB,¦¨¤H,eGFR,0,29.99,mL/min/1.73m2,mL/min/1.73m2,Renal impairment¡A eGFR less than 30 mL/min/1.73 m(2)¡A including ESRD: Use not recommended,[Micromedex 20210901],202007061544,202109011110
OHAR4,¦¨¤H,Clcr,0,0.10,mL/min,mL/min,Peritoneal dialysis¡A Hemodialysis (intermittent¡A thrice weekly): Unlikely to be dialyzed (highly protein bound): No dosage adjustment likely to be necessary (has not been studied); use with caution.,UpToDate 20240131,202401311406,202401311408
OHAR4,¦¨¤H,Clcr,0,0,mL/min,mL/min,¹ïµÇ¥\¯à§C¤UªÌ©y¥Ñ0.1mg ¶}©l§ë»P¡A¸g¹L¥R¤ÀÆ[¹î¤~¼W¶q¦Ü0.2 mg¡C¥Ñ©ó¥»ÃÄ³æ¦ì§t¶q¸û°ª¡A¦]¦¹¤£«ØÄ³¨Ï¥Î©ó¤W­z¯f±w¡C,¥é³æ 20240131,201804212318,202401311402
OHAR4,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,(ESRD¡A CrCl<10) No specific recommendations are available.,Micromedex 20240131,202401311403,202401311404
OHAR4,¦¨¤H,Clcr,0.01,9.99,mL/min,mL/min,No dosage adjustment likely to be necessary (has not been studied); use with caution.,UpToDate 20240131,202401311405,202401311406
OHAR4,¦¨¤H,Clcr,10.00,999.00,mL/min,mL/min,No dosage adjustment necessary.,Micromedex 20240131,202401311403,202401311402
OHARV,¦¨¤H,eGFR,0,29.99,mL/min/1.73m2,mL/min/1.73m2,µLªk´£¨Ñ¥ô¦ó¾¯¶q«ØÄ³,,,202303091001
OHYD,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,Reduce initial dose by 50% (administer after dialysis on dialysis days); titrate to response/avoidance of toxicity,,201804301511,202303091000
OHYD,¦¨¤H,Clcr,0,60.00,mL/min,mL/min,Reduce initial dose by 50%; titrate to response/avoidance of toxicity,,201804301510,202303091002
OHYXQ,¦¨¤H,Clcr,50.00,0,mL/min,mL/min,There are no dosage adjustments provided in the manufacturer¡¦s labeling; use with caution.,,202004071046,202303090959
OIMU,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,Administer 50% of normal dose.,,201804231640,202303091001
OIMU,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis (partially dialyzable; ~45% removed in 8 hours): Administer 50% of normal dose; supplement: 0.25 mg/kg.,,201804231640,202303090959
OIMU,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,Administer 75% of normal dose.,,201804231639,202303091001
OINDO2,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,Avoid use.,KDIGO 2012 guidelines provide the following recommendations for NSAIDs,201910031032,202303091000
OINDO2,¦¨¤H,eGFR,30.00,60.00,mL/min/1.73m2,mL/min/1.73m2,Temporarily discontinue in patients with intercurrent disease that increases risk of acute kidney injury.,KDIGO 2012 guidelines provide the following recommendations for NSAIDs,201910031032,202303091000
OINV,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804142355,201804142355
OINV,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,°_©l¾¯¶q:1.5 mg once daily,³Ì°ª¾¯¶q:3 mg once daily,201804142355,202303091001
OINV,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,°_©l¾¯¶q:3 mg once daily,³Ì°ª¾¯¶q:6 mg once daily,201804142354,202303091000
OISO2,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ¯f¤HÀ³ÂÔ·V¨Ï¥Î(¬ù70%ªº§ë»PÃÄª«¥NÁÂ²£ª«¥Ñ§¿²G±Æ°£),,201804121520,201804121520
OJADU,¦¨¤H,eGFR,0,29.99,mL/min/1.73m2,mL/min/1.73m2,Including ESRD: Contraindicated ¸T¥Î©ó­««×µÇ¥\¯à¤£¥þ¯f¤H¡]µÇµ·²y¹LÂo²v¦ô­p­È¤p©ó30 mL/min/1.73 m2¡^,Micromedex 20240327 ¥é³æ 20240327,202403271042,202403271049
OJADU,¦¨¤H,eGFR,30.00,44.99,mL/min/1.73m2,mL/min/1.73m2,Do not initiate treatment with this combination,Micromedex 20240327,202403271043,202403271049
OJADU,¦¨¤H,eGFR,45.00,59.99,mL/min/1.73m2,mL/min/1.73m2,In patient undergoing iodinated contrast imaging procedure: Discontinue at time of or before procedure; evaluate eGFR 48 hours after imaging procedure; restart if renal function stable.,Micromedex 20240327,202403271043,202403271049
OJAN,¦¨¤H,eGFR,0,29.99,mL/min/1.73m2,mL/min/1.73m2,¨C¤é¤@¦¸25mg,¥é³æ«ØÄ³,201805301116,202303091001
OJAN,¦¨¤H,eGFR,30.00,44.99,mL/min/1.73m2,mL/min/1.73m2,¨C¤é¤@¦¸50mg,¥é³æ«ØÄ³,201805301115,201805301125
OJAR,¦¨¤H,eGFR,0,45.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³¨Ï¥Î,,201804112344,201804112344
OJAR2,¦¨¤H,eGFR,0,29.99,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (severe)¡A ESRD¡A or receiving dialysis: Use contraindicated.,Micromedex 20200710,201806251352,202007101024
OJAR2,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,µÇµ·²y¹LÂo²v¦ô­p­È§C©ó30mL/min/1.73m2©Î¬~µÇªº¯f¤H¤£«ØÄ³¨Ï¥Î.,¥é³æ,202007101025,202212011530
OJAR2,¦¨¤H,eGFR,30.00,99.00,mL/min/1.73m2,mL/min/1.73m2,µÇµ·²y¹LÂo²v¦ô­p­È¤j©óµ¥©ó30mL/min/1.73m2ªº¯f¤HµL»Ý½Õ¾ã¾¯¶q.,¥é³æ,202007101026,202007101025
OJAR2,¦¨¤H,eGFR,30.00,45.00,mL/min/1.73m2,mL/min/1.73m2,Do not initiate therapy; discontinue use if eGFR drops and remains below 45 mL/min/1.73m(2),Micromedex 20200710,201806251351,202007101023
OJIN1,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¸T¥Î©óµL§¿¯g¯f¤H¡CCrCl <10 mL/min¡A use not recommended.,¥é³æ 20230727,202307271512,202307271512
OJIN4,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¸T¥Î©óµL§¿¯g¯f¤H¡CCrCl <10 mL/min¡A use not recommended.,¥é³æ 20230727,202307271629,202307271629
OKCB,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,µÇ¥\¯à¤£¥þÁ×§K¨Ï¥Î(¥é³æ),,202311261415,201803191053
OKCB,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Moderate-severe impairment: Avoid use.,,201803191053,201803191053
OKCIT,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªÌ¥i¯à·|¤Þ°_°ª¦å¹[©ÎÆP¤¤¬r¯gª¬¡AÀ³©w´Á´ú©w¦å¤¤¹q¸Ñ½è§t¶q¡A¥HÁ×§K°Æ§@¥Îµo¥Í,,201804212343,201804212343
OKEP,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,250 to 500 mg orally every 12 hours,,201804160414,201804160416
OKEP,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,250 to 750 mg orally every 12 hours,,201804160414,202303091000
OKEP,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,500 to 1000 mg orally every 12 hours,,201804160413,202303091000
OKET,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Advanced impairment or patients at risk for renal failure due to volume depletion: Use is contraindicated.,,201912091114,201912091115
OKIS,¦¨¤H,eGFR,15.00,29.99,mL/min/1.73m2,mL/min/1.73m2,eGFR 15 to <30 mL/minute/1.73 m2: Reduce initial dose to 200 mg once daily.,,201912230934,202303091001
OKIS0,¦¨¤H,eGFR,15.00,29.99,mL/min/1.73m2,mL/min/1.73m2,eGFR 15 to <30 mL/minute/1.73 m2: Reduce initial dose to 200 mg once daily.,,202107281639,202303091002
OKLA5,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,dose should be reduced 50%,,,202303090958
OKLA5X,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¦Ù»ÄÓþ¹ø²M²v§C©ó 30 mL/min¤§ÄY­«µÇ¥\¯à¤£¥þ¯f¤H¡A¾¯¶q»Ý´î¥b¡A¤@¯ë«ØÄ³¾¯¶q¬° 250 mg¨C¤Ñ¤@¦¸¡A¦]KlaricidXL¤£¥i­é¥b¡A¬G¤£¥i¥Î©óÄY­«µÇ¥\¯à¤£¥þ¯f¤H¡A¶·§ï¥ÎKlaricidªº³t©ñ¾¯«¬¡C ¦b¸ûÄY­«ªº·P¬V«ØÄ³¾¯¶q¬°250mg¨C¤Ñ¨â¦¸¡A³o¨Ç¯f¤H¤£±o³sÄò¨Ï¥Î¶W¹L14¤Ñ¡C,¥é³æ,202211301030,202211301030
OKLA5X,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,severe renal impairment: CrCl less than 30 mL/min¡A dose should be reduced 50%,Micromedex 2022/11/30,202211301021,202211301023
OKLAR,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,In combination with atazanavir or ritonavir:Decrease clarithromycin dose by 75%.,,201807111149,201807111150
OKLAR,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,Hemodialysis: Administer after HD session is completed.,,201807111147,201807111147
OKLAR,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,Decrease clarithromycin dose by 50%.,,201807111142,202303091001
OKLAR,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,In combination with atazanavir or ritonavir: Decrease clarithromycin dose by 50%.,,201807111148,201807111147
OLACS,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Avoid use. (KDIGO 2012 guideline),,201912091130,202303091002
OLACS,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,Temporarily discontinue in patients with intercurrent disease that increases risk of acute kidney injury. (KDIGO 2012 guideline),,201912091130,202303091002
OLAMC,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ¯f±w­°§Cºû«ù¾¯¶q¤´¬O¦³®Äªº,,201804160440,201804160440
OLAMS,¦¨¤H,Clcr,0,49.99,mL/min,mL/min,µÇ¥\¯à·l®`±wªÌªº¬ã¨s©|¥¼¥R¥÷¡A¦]¦¹¤£«ØÄ³¨Ï¥Î©ó³oÃþ±wªÌ,,,202303091000
OLAT,¦¨¤H,Clcr,0,49.90,mL/min,mL/min,CrCl <50 mL/minute: Initial: 20 mg daily; maximum: 80 mg/day,,201803291528,202303090959
OLEE,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Severe impairment: CrCl <30 mL/minute: Use with caution.,,201809161629,202303091001
OLEEV,¦¨¤H,Clcr,0,19.99,mL/min,mL/min,Use caution; a dose of 100 mg daily has been tolerated in a limited number of patients with severe impairment,,201907181504,201804301513
OLEEV,¦¨¤H,Clcr,20.00,39.99,mL/min,mL/min,Decrease recommended starting dose by 50%; dose may be increased as tolerated; maximum recommended dose: 400 mg.,,201907181504,202303091001
OLEEV,¦¨¤H,Clcr,40.00,59.99,mL/min,mL/min,Maximum recommended dose: 600 mg.,,201907181504,201804301513
OLENV,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,¤À¤Æ«¬¥Òª¬¸¢Àù¡G14mg QD PO µÇ²Ó­MÀù¡G10mg QD PO ¤l®c¤º½¤Àù¡G10mg QD PO ­««×µÇ¥\¯à¤£¥þ¤§HCC¯f¤HµL¨Ï¥Î«ØÄ³¾¯¶q,¥é³æ 20230728,202307281754,202307281759
OLEUK,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦³µÇ¥\¯à·l¶Ë¸ñ¶Hªº¯f±w¶·¤p¤ß¦aºÊ´ú¡A¦]©ö©ó¿©±w»P´á¦å¯g¦³Ãö¤§ªþ¥[©Ê°©Åè§í¨î,,201804261552,202303091001
OLEX3,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ±wªÌ«ØÄ³±q³Ì§C¾¯¶q¶}©l¨Ï¥Î,,201804150021,201804150021
OLEXA,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ±wªÌÀ³ÂÔ·V¨Ï¥Î,,201804150033,201804150033
OLINI,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¾¯¶q½Õ°ª¦Ü¨C¤Ñ20mgªÌÀ³¤p¤ßÂÔ·V¡A¨Ï¥Î®ÉÀ³¥[ª`·N,,201804130719,201804130719
OLIPS,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,ÄY­«ºC©ÊµÇÅ¦¯e¯f¡A¤£¥i¨Ï¥Îfenofibrate¡C,20230822 ¥é³æ,202308221536,201804130730
OLIPS,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,¤¤«×ºC©ÊµÇÅ¦¯e¯f¡A­Y¦³¸û§C¾¯¶qªºÃÄ«~¡A¨C¤é¤@¦¸¨C¦¸¨Ï¥Î¤@Áû100 mg½¦Ån©Î67 mg·L²É¤Æ½¦Ån¡C­YµL¸û§C¾¯¶qªºÃÄ«~¡A«h¤£«ØÄ³¨Ï¥Îfenofibrate¡C,20230822 ¥é³æ,202308221535,202308221537
OLIVA,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,°_©l¾¯¶q:1 mg orally once daily (¥]§t³zªR¯f¤H),³Ì°ª¾¯¶q:2 mg/day,201804130734,201804130734
OLIVA,¦¨¤H,Clcr,30.00,59.00,mL/min,mL/min,°_©l¾¯¶q:1 mg orally once daily,³Ì°ª¾¯¶q:2 mg/day,201804130733,202303091000
OLIX,¦¨¤H,Clcr,0,14.90,mL/min,mL/min,Use is not recommended,,201804191153,202303091000
OLIX,¦¨¤H,Clcr,15.00,50.00,mL/min,mL/min,30 mg once daily.,,201804191153,202303091001
OLON,¨àµ£,Clcr,60.00,0,mL/min,mL/min,No dosage adjustment of etodolac is necessary in patients with mild-to-moderate renal failure. However¡A etodolac should be used with caution because it may cause cumulative effects on renal function especially in patients with pre-existing mild-to-moderate renal dysfunction,Micromedex 2020/11/27,202011271213,202011271213
OLONS,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,There are no dosage adjustments provided in the manufacturer's labeling,,201908051522,202303091000
OLOX,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustment provided in manufacturer's labeling.,,201804191056,202303091000
OLYR,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,Adults: 25 to 75 mg once daily,Micromedex 20200803,202008031440,202008031441
OLYR,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,­ì¨Ï¥Î600mg BID or TID: 75mg QD. ­ì¨Ï¥Î450mg BID or TID: 50-75mg QD. ­ì¨Ï¥Î300mg BID or TID: 25-50mg QD. ­ì¨Ï¥Î150mg BID or TID: 25mg QD.,¥é³æ,202008031433,202008031432
OLYR,¦¨¤H,Clcr,14.99,30.00,mL/min,mL/min,Adults: 25 to 150 mg/day given once daily or in 2 divided doses,Micromedex 20200803,202008031439,202008031440
OLYR,¦¨¤H,Clcr,15.00,30.00,mL/min,mL/min,­ì¨Ï¥Î600mg BID or TID: 150mg QD or BID. ­ì¨Ï¥Î450mg BID or TID: 100-150mg QD or BID. ­ì¨Ï¥Î300mg BID or TID: 75mg QD or BID. ­ì¨Ï¥Î150mg BID or TID: 25-50mg QD or BID.,¥é³æ,201804160453,202008031432
OLYR,¦¨¤H,Clcr,29.99,60.00,mL/min,mL/min,Adults: 75 to 300 mg/day in 2 to 3 divided doses,Micromedex 20200803,202008031438,202008031438
OLYR,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,­ì¨Ï¥Î600mg BID or TID: 300mg BID or TID. ­ì¨Ï¥Î450mg BID or TID: 225mg BID or TID. ­ì¨Ï¥Î300mg BID or TID: 150mg BID or TID. ­ì¨Ï¥Î150mg BID or TID: 75mg BID or TID.,¥é³æ,201804160452,202008031431
OLYR,¦¨¤H,Clcr,60.00,99.99,mL/min,mL/min,Adults: No adjustment required,Micromedex 20200803,202008031437,202008031437
OMEDA,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustment provided in manufacturer's labeling.,,201804191053,202303091001
OMELE,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,À³¨Ì¯f±w­Ó§Oª¬ªp½Õ¾ã¾¯¶q,,201804120050,201804120050
OMEPR,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ±wªÌÀ³ÂÔ·V¨Ï¥Î,,201804231424,201804231424
OMETH,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,Increase dosage interval to 12 to 24 hours,,201804130700,201804130700
OMETH,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,Increase dosage interval to 8 to 12 hours,,201804130700,201804130659
OMETH,¦¨¤H,Clcr,50.00,0,mL/min,mL/min,Increase dosage interval to 8 hours,,201804130659,201804130659
OMEV4,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,°_©l¾¯¶q:10 mg orally once daily,,201804130736,201804130736
OMEZA,¦¨¤H,eGFR,30.00,0,mL/min/1.73m2,mL/min/1.73m2,¸T§Ò¨Ï¥Î,¥¼¦³¯S§O°w¹ï¨x©ÎµÇ¥\¯à¤£¥þ©Ò°µªº¸ÕÅç,201904021508,201904021509
OMIDO,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ±wªÌ»Ýª`·N§ë»P¾¯¶q¡AÂÔ·V¨Ï¥Î¡A«ØÄ³°_©l¾¯¶q 2.5 mg,,201804130647,201804130701
OMIN6,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,¤¤«×¨ìÄY­«ªºµÇ¥\¯à¤£¥þ¯f±w¤£«ØÄ³¨Ï¥Î,,201804242350,201804242350
OMIRA,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804160531,201804160531
